,id,query,place_id,osm_type,country,country_code
4531,399000025,"47.4973,-122.256",231650927,way,United States,us
10190,293000036,"47.5333,-122.381",157214739,way,United States,us
18316,9287802380,"47.6737,-122.358",155814505,way,United States,us
13814,9542850580,"47.5923,-122.169",296158161,way,United States,us
13373,476000333,"47.6705,-122.39",18607267,node,United States,us
5907,7331900290,"47.3136,-122.208",213527159,way,United States,us
7182,7936000403,"47.5536,-122.399",157825846,way,United States,us
16654,6699930440,"47.3446,-122.041",221234793,way,United States,us
19628,1048000160,"47.6491,-122.334",279934714,way,United States,us
10493,3566800125,"47.6908,-122.391",154813536,way,United States,us
